year,author,title,link,shl_has_link,shl_link
1999,"Abeyratne, Sonali Gothami","Banking and the debt recovery: A comparative study of the law and practice in India, Sri Lanka and Malaysia.",http://etheses.lse.ac.uk/1604/,True,
1999,"Afriat, Alexander",Quantum waves in configuration space.,http://etheses.lse.ac.uk/2085/,True,http://catalogue.libraries.london.ac.uk/record=b1855722~S24
1999,"Albert-Roulhac, Catherine",The Europeanisation of national budgeting in the United Kingdom and France: A study of governmental processes.,http://etheses.lse.ac.uk/2623/,True,
1999,"Almog, Orna",Beyond Suez---the Anglo-Israeli relationship 1956--1958.,http://etheses.lse.ac.uk/2219/,True,
1999,"Alvarez, Santiago",The relationship between internally and externally generated violence in an Andean Mestizo Colombian community.,http://etheses.lse.ac.uk/2867/,True,
1999,"Araya Santos Cardoso, Catarina",Property rights and the environment at the local and global levels: Brazilian Amazonia and the extractive reserve Chico Mendes.,http://etheses.lse.ac.uk/2487/,True,
1999,"Armbruster, Thomas Friedrich",The German corporation: An open or closed society? An application of Popperian ideas to organizational analysis.,http://etheses.lse.ac.uk/2619/,True,
1999,"Aron, Danielle Belinda",Production and reception in British television documentary: A genre-based analysis of mass-mediated communication.,http://etheses.lse.ac.uk/2866/,True,
1999,"Balakrishna, Sridharan",Organisational politics and information systems implementation: the case of the Indian public administration.,http://etheses.lse.ac.uk/2632/,True,http://catalogue.libraries.london.ac.uk/record=b1877826~S24
1999,"Balakrishnan, Ravi",Unemployment and growth dynamics: Theory and OECD evidence.,http://etheses.lse.ac.uk/2489/,True,http://catalogue.libraries.london.ac.uk/record=b1854764~S24
1999,"Barbanti, Olympio, Jr",Urban dimensions in rural livelihoods: Implications for grassroots development and sustainability in the Brazilian Amazon.,http://etheses.lse.ac.uk/2865/,True,http://catalogue.libraries.london.ac.uk/record=b1850716~S24
1999,"Basu, Sankarshan",Approximating functions of integrals of log-Gaussian processes: Applications in finance.,http://etheses.lse.ac.uk/1549/,True,http://catalogue.libraries.london.ac.uk/record=b1858112~S24
1999,"Bennett, Sara",Imperfect information and hospital competition in developing countries: A Bangkok case study.,http://etheses.lse.ac.uk/2488/,True,http://catalogue.libraries.london.ac.uk/record=b1863927~S24
1999,"Bishai, Linda Suzanne",Secession and the theory & practice of international relations.,http://etheses.lse.ac.uk/1546/,True,http://catalogue.libraries.london.ac.uk/record=b1851312~S24
1999,"Bissix, Glyn","Dimensions of power in forest resource decision-making: 
a case study of Nova Scotia’s forest conservation legislation.",http://etheses.lse.ac.uk/854/,True,
1999,"Bjugan, Ketil",Europe's divided north: A comparative analysis of the conflict over European Union membership in four Nordic countries.,http://etheses.lse.ac.uk/1516/,True,http://catalogue.libraries.london.ac.uk/record=b1820968~S24
1999,"Bousiou, Polianthi",The nomads of Mykonos: Consuming discourses of otherness in a polysemic tourist space.,http://etheses.lse.ac.uk/1538/,True,
1999,"Brandon, Toby",Power and disabled people: A comparative case study of three community care services in London.,http://etheses.lse.ac.uk/1589/,True,http://catalogue.libraries.london.ac.uk/record=b1859136~S24
1999,"Brown, J. E.S",The impact of financing constraints on investment.,http://etheses.lse.ac.uk/2637/,True,
1999,"Campanelli, Pamela Comber",The impact of the interviewer: Nonresponse and response variance in social surveys.,http://etheses.lse.ac.uk/2627/,True,
1999,"Chagab, Kim",Discretionary effort and performance in Korean bank branches: The impact of identification and norms.,http://etheses.lse.ac.uk/2629/,True,http://catalogue.libraries.london.ac.uk/record=b1867269~S24
1999,"Chrysochos, Neophytos Elia",Information systems and organisational change: The case of flexible specialisation in Cyprus.,http://etheses.lse.ac.uk/1594/,True,
1999,"Colas Krauter, Alejandro",The expansion of international civil society: The case of Tunisia.,http://etheses.lse.ac.uk/2631/,True,
1999,"Cripps, Sandra Florence",The influence of language as a tool for policy implementation: Further education after the 1988 Education Reform Act.,http://etheses.lse.ac.uk/2217/,True,
1999,"Crow, Suzanne Marie","Fragmented diplomacy: The impact of Russian governing institutions on foreign policy, 1991-1996.",http://etheses.lse.ac.uk/2626/,True,http://catalogue.libraries.london.ac.uk/record=b1849046~S24
